 ,0 minute,1 minute,2 minute,3 minute,4 minute,5 minute,6 minute,7 minute,8 minute,9 minute,10 minute,11 minute,12 minute,13 minute,14 minute,15 minute,16 minute,17 minute,18 minute,19 minute,20 minute,21 minute,22 minute,23 minute,24 minute,25 minute,26 minute,27 minute,28 minute,29 minute,30 minute,31 minute,32 minute,33 minute,34 minute,35 minute,36 minute,37 minute,38 minute,39 minute,40 minute,41 minute,42 minute,43 minute,44 minute,45 minute,46 minute,47 minute,48 minute,49 minute,50 minute,51 minute,52 minute,53 minute,54 minute,55 minute,56 minute,57 minute,58 minute,59 minute,60 minute
p11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p14,0.0,0.005615329434982207,0.008068985212009574,0.011347978747264377,0.015425882288585714,0.020147904312315182,0.025386243235631774,0.030965827864370892,0.036740983654877546,0.04261728401593194,0.048529490907822825,0.05455237128616874,0.06058238307436196,0.0665800673092797,0.07252113235091692,0.07838997676846751,0.08426440677315614,0.09000259507629299,0.09565449706491425,0.10121345783649457,0.10667555736027524,0.11198869431771191,0.11724377748658239,0.12238994801095751,0.1274290178551581,0.1323621281902842,0.13721867470472202,0.14197552969275148,0.14664241753173557,0.15121441604287247,0.1556879158859441,0.1600903599416936,0.16439063333581153,0.16859066716275953,0.17268857796788029,0.17668344917680906,0.18079011164563674,0.1847064238856801,0.18854014198668465,0.19228108958402795,0.19592435083759818,0.19957384574277545,0.20307525341303725,0.2064773484589236,0.20977550065760422,0.21296839545819674,0.21613906632674376,0.21925511371004036,0.22228355356475146,0.22521558334447533,0.2280460671857466,0.23073968837730088,0.23338563973481144,0.23592036530819005,0.23834326406993214,0.24065385406674183,0.2429412896636698,0.24509137962145505,0.24713987172767568,0.24908048101494126,0.2509087892344392
p15,0.0,0.00560201862203996,0.007878948334787469,0.010737816760118634,0.014172856975647151,0.018075567090934018,0.022371069535873086,0.02693153098351455,0.03165020044511289,0.03646023049163136,0.0413153998337314,0.04629253329046029,0.0512950350315291,0.056292442198933174,0.06126613102910377,0.066204482183154,0.07118729663513435,0.07607082312906943,0.08090791332059079,0.08569257586201233,0.09042096719872617,0.0950391360854977,0.09964194399640665,0.10417589904986256,0.1086414451821609,0.11303887298052881,0.11739556569118619,0.1216829486391094,0.125912403361545,0.1300800570255703,0.13418234958971434,0.1382449192203078,0.1422362639328139,0.14615829625860005,0.1500087151558116,0.15378625898103593,0.15770340072388608,0.16144909991586887,0.1651368104324914,0.1687574053836725,0.17230653607221458,0.17588768564271148,0.17934429829774545,0.1827274319009595,0.18603193364958237,0.18925622462765074,0.19247584132355697,0.19565675552661754,0.19876830845105975,0.2018033957209115,0.2047580824251267,0.20759396341457215,0.2104053576004109,0.21312704626600587,0.2157582227562151,0.21829846154545243,0.22083603577184852,0.22325141973016585,0.22558336299944748,0.22782671111117272,0.22997739286333094
p16,0.0,0.026366305349417564,0.03649471168535649,0.04850567516567112,0.06248834511504243,0.07806287568246004,0.09502958462935589,0.1129411543855008,0.13142560846150295,0.15026123818930842,0.16929593819410127,0.18889697827750207,0.20863979526901325,0.22841502351669854,0.24815433269107223,0.26781734554540426,0.28779026542976294,0.3073881329909155,0.3268734381647607,0.34622283170378826,0.3654205129260354,0.38420515445590137,0.4030433169144472,0.4216764620226538,0.44010239463545964,0.45832074839641535,0.4764568011146981,0.49435812911554783,0.5120825819039753,0.5296186033660788,0.5469519519692698,0.5641981261244621,0.5812093097684045,0.5979967702756909,0.614548863899918,0.6308593091036264,0.6479245782876031,0.6642435582038146,0.6803758738637218,0.6962831129410857,0.7119471100490069,0.7278550825402074,0.7432595686155024,0.75841497628787,0.7732952292411109,0.7878919261895664,0.8025325090180935,0.8170568841150164,0.8313288224929655,0.8453204177375702,0.8590173084745536,0.8722248312165356,0.8854115564279001,0.8982649976524889,0.9107799813892357,0.9229547964834149,0.9352039428701752,0.9469448944270592,0.9583709645235586,0.9694630753771485,0.9802042595388429
p17,0.0,0.09040550939092586,0.12366799378584653,0.16109478672863373,0.2034727716285449,0.2498143328026727,0.29973966567457516,0.35206958789539905,0.4058400338187596,0.46051972056480994,0.515751571973507,0.572800207467855,0.6303047320487223,0.6879846209774035,0.7456568641082169,0.8032183474030967,0.8620252556551194,0.919702624041279,0.9771907201317603,1.0344270437270457,1.0913669439656604,1.1470914812026385,1.2032626858466104,1.258984743742611,1.314239800023939,1.3690224960814017,1.4237576508749092,1.4778835814400868,1.5315995956103396,1.5848875540027476,1.6377110314275132,1.6904549620955802,1.7426176167248595,1.7942493443710041,1.845310027128819,1.8957780693708297,1.9490679397615578,1.9999250959607373,2.0503452730250507,2.100213716084729,2.1494744161670023,2.1998001672425493,2.24859119632505,2.296772655294652,2.344254001846099,2.3910028646900403,2.4380586982231174,2.4848924138069606,2.531056371395945,2.576470116290252,2.6210944194965005,2.664216442733438,2.7075217118774475,2.7499282909472287,2.7914143097628332,2.8319739857213406,2.873027982409027,2.9125297426003014,2.9511677071798004,2.9888933250332195,3.025657271086848
p18,0.0,0.28477771620125114,0.3861559385910083,0.49493903675480927,0.6151345136896614,0.7445107279053947,0.8824493667938067,1.025965753670636,1.1726606801788295,1.3213562624823434,1.4712957386248882,1.6264374080940347,1.782767940647457,1.9396385365487379,2.096608512627397,2.2534376914119467,2.414483235870749,2.5721849041521403,2.729606128106146,2.8866005489905358,3.043057433788309,3.1960155585305574,3.35087796076945,3.5048186740447957,3.657761747372456,3.809678793286597,3.9618982133395937,4.112584080059771,4.262334908238772,4.411143049702178,4.558933798174215,4.70689797197678,4.853476058754387,4.9988668474708025,5.142950097582143,5.285658715298357,5.437756677927405,5.582404880470465,5.726089452670217,5.8685061781903896,6.009497295367041,6.154342240274424,6.29472923101631,6.433732809703833,6.57108239107915,6.70666747429216,6.843524646438026,6.980094747313693,7.115000545976001,7.248029783184983,7.3790821818262,7.5057753389345505,7.6336435434020045,7.759261098739769,7.882551685693167,8.00349515469409,8.126563434404249,8.245206182548758,8.361639923389236,8.475757194776666,8.587432081341
p19,0.0,0.9077828767761743,1.2224716997288398,1.5466497014134024,1.8969696082670569,2.269063375586444,2.6623013416979204,3.068789348509081,3.4821297678189578,3.8995682586591984,4.319463705976482,4.7542070368157505,5.191783522992728,5.630691399173532,6.069886671243891,6.508830863050667,6.9616507173443,7.404015642120095,7.84594746197301,8.287113885250337,8.727251243016442,9.156728753166899,9.59321688222167,10.027732059134246,10.460007580319482,10.889924625722164,11.321679670878845,11.74934334077316,12.174678071993505,12.597745793868317,13.018414599424426,13.440431507667,13.858898936385962,14.274573820077583,14.687107448048199,15.096295219692367,15.536495354615578,15.953262040516151,16.367776949985146,16.779240366227278,17.187215479144815,17.60857517229525,18.016427391396018,18.421022538295084,18.821583444272974,19.217751109368926,19.618503040161325,20.01931530060852,20.41582849372389,20.80746359861318,21.193962270082526,21.567317633077018,21.94581038802488,22.31848517405679,22.685091175261444,23.045557218238944,23.41410913936049,23.769668363872068,24.119380086985096,24.463006086859764,24.80023160913306
p20,0.0,2.8932892250846813,3.872633646402381,4.849214259526183,5.8833545631267645,6.969094529400747,8.108211452886591,9.279743997172448,10.465870550037893,11.65970123105039,12.85746742534327,14.097484737298767,15.343576645481145,16.592257680208693,17.84104082725528,19.088813563854714,20.38126885080463,21.64022021253551,22.89827800372667,24.15471755371488,25.408955265371798,26.62976502320403,27.874655773916974,29.11511397777624,30.350310331653827,31.57981917834491,32.816858664533804,34.04259157852324,35.26215484389163,36.47581944159214,37.68340078198401,38.8966965360414,40.10033261256973,41.29707930106007,42.48595444825322,43.66636012868339,44.94794566803993,46.15518053573261,47.356868233515584,48.55088268630248,49.736054652608715,50.96633251577848,52.1548030824787,53.33533524473051,54.50576352928493,55.66498903472807,56.83953241298344,58.01661519031886,59.182336577087554,60.33500503163727,61.4739547650517,62.572450711767225,63.690557480223355,64.7932742619836,65.87980350156053,66.94990256960693,68.0487372686998,69.10882565096432,70.15307930552041,71.18091673419741,72.19156419715193
