 ,0 minute,1 minute,2 minute,3 minute,4 minute,5 minute,6 minute,7 minute,8 minute,9 minute,10 minute,11 minute,12 minute,13 minute,14 minute,15 minute,16 minute,17 minute,18 minute,19 minute,20 minute,21 minute,22 minute,23 minute,24 minute,25 minute,26 minute,27 minute,28 minute,29 minute,30 minute,31 minute,32 minute,33 minute,34 minute,35 minute,36 minute,37 minute,38 minute,39 minute,40 minute,41 minute,42 minute,43 minute,44 minute,45 minute,46 minute,47 minute,48 minute,49 minute,50 minute,51 minute,52 minute,53 minute,54 minute,55 minute,56 minute,57 minute,58 minute,59 minute,60 minute
 OXYOLO2,nan,0.0008100372897765118,0.0008125588110573841,0.000812909156715423,0.0008130024704653472,0.0008131455448454771,0.0008134988221398275,0.000813321601542143,0.0008133931379951568,0.0008134537249005916,0.0008135053644197718,0.0008135392675330784,0.000813582902002899,0.0008136189110036002,0.0008136510248194005,0.0008136801745019476,0.0008136855937586083,0.000813716008142195,0.0008137409867537148,0.0008137640010948369,0.0008137855599019837,0.0008138194819732663,0.000813835783697585,0.0008138530528950321,0.0008138697539398656,0.0008138858346220498,0.0008139001009162649,0.0008139149718516466,0.0008139295858383828,0.0008139437917405763,0.0008139576082228964,0.0008139676949565278,0.0008139821669545034,0.0008139952186596859,0.000814007865801964,0.0008140202154078954,0.0008139976807676674,0.0008140215181369527,0.000814035732706481,0.0008140486611648891,0.000814061173804872,0.0008140497038015928,0.0008140703207763014,0.0008140838980197177,0.00081409639191166,0.0008141084883964746,0.0008141158074686809,0.0008141303865557625,0.0008141422358796882,0.0008141535275257989,0.0008141645318320947,0.000814186943291968,0.000814195325547838,0.0008142048961694931,0.0008142144229808362,0.0008142237526798629,0.0008142238305447,0.0008142366849929186,0.0008142462124675718,0.0008142550348254922,0.0008142635146327245
 OXYCATECH,nan,0.010357163485192366,0.011340233136584115,0.011651693129858203,0.011786183552755623,0.011862243074914113,0.011909263222806056,0.01194413006303992,0.011970054310802763,0.011990033083086955,0.012005938366541565,0.012018058676377966,0.012028805011139327,0.012038032490502138,0.01204599896728928,0.01205295148118084,0.012058582167429818,0.012063621733851379,0.0120682761463471,0.012072540378871819,0.012076456543091687,0.012080241475549773,0.0120838147419864,0.012087067830976777,0.012090060919962252,0.012092828952585826,0.0120953358113282,0.012097715507535984,0.012099941916952257,0.01210203487514317,0.012104008295413282,0.012105856654054465,0.012107585570933976,0.012109242962367471,0.012110825333434033,0.012112338220578663,0.012113609961359588,0.012114631182704269,0.012115723636085913,0.012116814249932079,0.012117893612296645,0.01211880075558456,0.012119627266226297,0.01212052175545405,0.01212142912943018,0.012122340485487835,0.012123059736151022,0.012123945437413422,0.012124855965609735,0.012125766711842893,0.01212667389003446,0.012127535591304117,0.012128538275571437,0.012129517397328147,0.012130478705904764,0.012131424499470645,0.012132294674481722,0.012133148099146701,0.012134019323302318,0.01213488989762841,0.012135757687028058
 MXYLOOH,nan,0.0035965494101288225,0.0036540917450544794,0.0036646200692657233,0.003667931336875503,0.0036696428406250104,0.003670646186516004,0.0036714073669756576,0.003672051666657064,0.003672596506820493,0.0036730673967873637,0.003673274628422407,0.003673663666892227,0.003674018173369513,0.0036743387696361878,0.0036746305467629733,0.0036745306039027625,0.0036748085524972744,0.003675067713943556,0.003675307226700308,0.003675529494797241,0.003675962756662136,0.0036761402894878864,0.003676307361985613,0.003676465768436597,0.003676616422375711,0.0036767338297467537,0.003676872975680609,0.0036770056620990714,0.0036771329310769426,0.0036772552586578906,0.003677324668146172,0.003677440104795031,0.003677552350636677,0.003677660880503896,0.003677765879470803,0.003677353176940791,0.003677472877071119,0.00367759465167856,0.003677712573300361,0.003677826242099229,0.003677569809378519,0.003677691058677114,0.003677813586845792,0.0036779319556722984,0.0036780458272245497,0.003678111561996541,0.003678216404868521,0.003678321009134678,0.003678422555275258,0.003678520862798027,0.003678837969153587,0.0036789189068570705,0.003678998391291939,0.00367907595908899,0.0036791516658116028,0.003679105343905546,0.0036791803593806604,0.0036792552575830276,0.003679328666909395,0.0036794003147137483
 MXYLNO3,nan,0.0007966156438854203,0.0008006780323502844,0.0008015333660474935,0.0008018761831730932,0.0008020761633238871,0.0008022089760408006,0.0008022914392448072,0.0008023615969656895,0.0008024187131426554,0.0008024662963436918,0.0008025009200928914,0.0008025372536302374,0.0008025694778294743,0.0008025983794668499,0.0008026246074389905,0.0008026344172934883,0.0008026586715622319,0.0008026809273146029,0.0008027016777450211,0.0008027211698297325,0.0008027487310220163,0.0008027650979687694,0.0008027810081575553,0.0008027963280844876,0.0008028111098888192,0.0008028241204684928,0.0008028381777166453,0.000802851780262651,0.000802865025839976,0.0008028779503396283,0.0008028889786596658,0.0008029015082262493,0.000802913761243148,0.0008029257822258505,0.0008029375884497722,0.0008029315548165412,0.000802944901261971,0.0008029574447070874,0.0008029697298713762,0.0008029818033433672,0.0008029817558278157,0.0008029945724014211,0.0008030069314679232,0.0008030190706543337,0.0008030310133129186,0.0008030419484045695,0.000803053556043931,0.0008030651549196537,0.0008030766376513564,0.0008030879893113744,0.0008031071349912398,0.0008031174524404158,0.0008031280022343655,0.000803138487669527,0.0008031488842749659,0.000803155546169099,0.0008031662701130492,0.0008031766932940871,0.0008031870225819531,0.0008031972672404399
 MXYLO,nan,3.971409840406737e-06,3.97576264174604e-06,3.975901641114443e-06,3.975929778720686e-06,3.975990753983279e-06,3.976054691406602e-06,3.976054615662669e-06,3.97610418443818e-06,3.976157308138992e-06,3.976210143621485e-06,3.976262104579458e-06,3.976314116090466e-06,3.976364968117883e-06,3.976414978526435e-06,3.976464182602245e-06,3.976512774880589e-06,3.976563054283931e-06,3.9766109151923934e-06,3.976658091906431e-06,3.976704759272814e-06,3.9767508322210935e-06,3.9767947703015286e-06,3.976839757873679e-06,3.976884510196058e-06,3.976928949665265e-06,3.976973155912949e-06,3.977017484871085e-06,3.9770613026290296e-06,3.977104882085799e-06,3.977148247137017e-06,3.977191414028609e-06,3.977234863316923e-06,3.977277872982129e-06,3.97732069843625e-06,3.977363352314511e-06,3.977406093710131e-06,3.977454200332794e-06,3.977498215880465e-06,3.977541855691577e-06,3.977585371976337e-06,3.977628807242326e-06,3.977675121103156e-06,3.977719248215832e-06,3.97776311975625e-06,3.977806863795528e-06,3.977850385187807e-06,3.977894163423554e-06,3.977938221877861e-06,3.977982291386047e-06,3.9780262884995685e-06,3.978070004862102e-06,3.978111760461921e-06,3.978155131288087e-06,3.978198517355921e-06,3.9782417650075946e-06,3.9782849265630485e-06,3.978329963386746e-06,3.978373448123806e-06,3.978416692534601e-06,3.978459771880516e-06
 MXYLAL,nan,5.737979766644581e-05,5.745673321674155e-05,5.746245242931257e-05,5.7464404597138356e-05,5.7466125792386885e-05,5.746748403703904e-05,5.746796719425499e-05,5.7468953584138924e-05,5.7469929493032416e-05,5.7470858591474194e-05,5.7471719066673425e-05,5.7472585055963936e-05,5.747341811426406e-05,5.747422493652979e-05,5.747500882764585e-05,5.747571244636713e-05,5.7476500723507494e-05,5.7477248525631165e-05,5.7477980398816864e-05,5.7478699732869114e-05,5.7479446351867545e-05,5.7480115335341326e-05,5.748079588728321e-05,5.748147056616431e-05,5.748213859652032e-05,5.748279545418024e-05,5.748345887942669e-05,5.748411323411497e-05,5.748476275542563e-05,5.748540793514745e-05,5.7486042504223385e-05,5.748668658255183e-05,5.7487323914442496e-05,5.748795775385454e-05,5.748858831461202e-05,5.748914501205467e-05,5.7489852212603774e-05,5.7490504139787344e-05,5.749115020237733e-05,5.749179368101786e-05,5.7492385249822614e-05,5.749306673417244e-05,5.749371943293551e-05,5.749436800581504e-05,5.749501400297141e-05,5.749565403353356e-05,5.749629759263264e-05,5.749694612856823e-05,5.7497594440616056e-05,5.7498241198738544e-05,5.749891856207296e-05,5.749953089495639e-05,5.750016562512508e-05,5.7500800202879926e-05,5.7501432493947066e-05,5.750204903769833e-05,5.750270523544818e-05,5.750334057537447e-05,5.7503972461025045e-05,5.7504601759849196e-05
 MXYLOH,nan,0.0003954441165038062,0.00040361390594354624,0.00040389383412760965,0.0004039597934464843,0.00040399752980991476,0.0004040201726754838,0.00040403522688353465,0.0004040500016739554,0.0004040632564098795,0.0004040750593511758,0.00040408440809947866,0.00040409258268567146,0.00040410215868532626,0.00040411110655047934,0.00040411951112797294,0.0004041240179121839,0.0004041308725406473,0.0004041386001792284,0.000404145986119916,0.0004041530704574966,0.0004041622244536875,0.0004041688422980539,0.0004041750056644933,0.0004041810202240493,0.00040418689928607357,0.00040419232448421196,0.0004041981311947109,0.0004042037062426574,0.00040420918762720456,0.00040421458519199194,0.0004042194837869002,0.00040422457519521986,0.0004042298116642722,0.00040423498735492596,0.00040424010278158505,0.00040424040158103795,0.0004042445200555621,0.00040424995609513695,0.0004042553401005089,0.00040426065986240726,0.00040426244288678265,0.00040426694858661916,0.00040427241924806775,0.0004042778372138703,0.00040428318648415734,0.000404288213615143,0.00040429298979760656,0.0004042982448078109,0.0004043034695857526,0.0004043086459132703,0.0004043163060104313,0.0004043211128952362,0.00040432599969405624,0.0004043308593634747,0.0004043356818299155,0.0004043392657874573,0.0004043439386937905,0.0004043487618380948,0.00040435355321384695,0.00040435830804409127
 MXYBPEROOH,nan,0.07530314169460475,0.10754964419389564,0.12193207387871148,0.12874854832725025,0.13237548068063912,0.13460558522072086,0.13608151546445577,0.1371781275858665,0.13804518673286162,0.13876166365631182,0.13917381382310767,0.13965755098609833,0.14012916062178307,0.14056535632541883,0.14096397592863927,0.1409464364206144,0.14119774393783732,0.14149813700298303,0.14179848644525037,0.14208490101462257,0.14259680182487117,0.14290067226818673,0.14314247018792436,0.14335340414192846,0.143544745905915,0.14369147388546702,0.1438511198018802,0.14400496646235333,0.14415154927487103,0.14429085998444063,0.14437138717074685,0.14448234355473213,0.144598307444596,0.14471260684751014,0.14482318103927064,0.1443684710514943,0.14431558864729693,0.14437378867188116,0.14446982962017932,0.14457846798465407,0.14429098182730227,0.14429159285654714,0.14437215683811522,0.1444788347571937,0.14459286048324432,0.14466405792580125,0.14475643470473748,0.14485750018459154,0.1449587765845455,0.14505720618053333,0.14540563927356723,0.14555653863103374,0.14565841043600394,0.14573949477614548,0.14580972399649716,0.1457397928710343,0.14575847729817717,0.14580092674224998,0.1458509620733552,0.14590274987062551
 MXYBIPENO3,nan,0.01985304431547213,0.02235268729741418,0.02314023967658253,0.02347353723964931,0.023656105769352936,0.023777024751276205,0.02385625927680135,0.023915267447946562,0.02396089841623527,0.023997285771825493,0.02402142966027707,0.024046764527439375,0.024068527060308133,0.02408722213985504,0.024103460241217404,0.02410397759445995,0.024117771463426255,0.02413038169137085,0.024141665601576993,0.0241518154523431,0.024169914925412796,0.024177693134669203,0.02418465265712693,0.02419107168997941,0.02419702334544527,0.024201283325894392,0.02420653037883029,0.02421144729034348,0.024216059947156685,0.024220398593163762,0.024222919985047393,0.024226821124690823,0.02423056851983021,0.024234125237202787,0.02423750392295467,0.024223322294571314,0.02422682593130823,0.024230671988090216,0.024234354967179038,0.024237852882049073,0.024229419326492987,0.02423287755009708,0.02423653812905661,0.024240043071269073,0.024243377312084462,0.02424579199092592,0.024248759060418856,0.024251684304230338,0.02425449402790116,0.024257187129285856,0.024267715525400944,0.02426994174172128,0.024271953021601202,0.024273892629887894,0.02427577087624143,0.024273937750587362,0.02427573665125469,0.02427759749085073,0.02427941470140056,0.024281180135517687
 MXYBIPERO,nan,6.786410674876109e-05,6.794744676209652e-05,6.795030413922285e-05,6.795019929184946e-05,6.795138800339276e-05,6.795495395735151e-05,6.79523489003971e-05,6.795322508802185e-05,6.795415787069896e-05,6.79550838736598e-05,6.795595611701283e-05,6.795689574663409e-05,6.79577861605456e-05,6.795865886887943e-05,6.795951671819458e-05,6.796031241297118e-05,6.796121802150227e-05,6.796205313500972e-05,6.796287360894851e-05,6.796368452018642e-05,6.79645135149404e-05,6.796526131659284e-05,6.796604018272792e-05,6.796681559721729e-05,6.796758532552014e-05,6.796835087353392e-05,6.79691152185576e-05,6.796987297829416e-05,6.79706265702484e-05,6.797137626108042e-05,6.797210737070703e-05,6.797286888438402e-05,6.79736126948357e-05,6.797435224909152e-05,6.797508854898505e-05,6.797569024065275e-05,6.797661373142984e-05,6.797738320763909e-05,6.797813745615047e-05,6.797888851891157e-05,6.79795409560056e-05,6.79804128433067e-05,6.79811825067221e-05,6.798194034899591e-05,6.798269505006724e-05,6.79834096118575e-05,6.798419580631926e-05,6.798495940080544e-05,6.798571974085033e-05,6.798647836961522e-05,6.798725712664109e-05,6.798796346433813e-05,6.79887091479979e-05,6.798945660788066e-05,6.799020193568282e-05,6.799089115799418e-05,6.799170749738375e-05,6.799246333685582e-05,6.799321003814528e-05,6.799395321634394e-05
 MXYBPER2OH,nan,0.006066716632078662,0.009341913466979313,0.009509795170147167,0.00955147037326347,0.00957127722528111,0.0095835618041201,0.009590898081163254,0.009597051768928961,0.009602048643499563,0.00960616340027684,0.00960880001547404,0.009610685849225887,0.009613549285431722,0.00961607349657633,0.009618308567785389,0.00961807652936416,0.009619263722331755,0.009621171372096674,0.0096229059043541,0.009624481606425485,0.009627454800921325,0.009628905375171184,0.009629997150042813,0.009631010311438724,0.00963195794867328,0.009632625731828354,0.009633539031210269,0.009634335083226935,0.009635086936663345,0.009635799286017476,0.009636190496909322,0.00963669901078858,0.009637333813807386,0.009637941480429886,0.009638521514610495,0.009635815651837945,0.009635388130935446,0.009636110676364407,0.009636821458960106,0.009637496845062092,0.009635758008237903,0.009635714221390378,0.009636462473299834,0.009637189695643316,0.00963787777203181,0.009638366481469422,0.00963866588266866,0.009639269200199039,0.009639850265445216,0.009640402857606133,0.009642695399062892,0.009643138135601805,0.009643529926327467,0.00964390303861703,0.00964426060078048,0.009643758562585168,0.009643903086638362,0.009644250718482891,0.009644592003897194,0.009644919439704781
 MXYOBPEROH,nan,0.0019019111517065274,0.0019393025224087469,0.001948693498871941,0.0019525333057713729,0.0019547042931230716,0.0019560283510536326,0.001956984880480154,0.0019577174901449033,0.0019582867016813667,0.001958743162971051,0.0019590934042174753,0.0019594071070295586,0.0019596784050596224,0.0019599149055111106,0.0019601233825056997,0.0019602885936538766,0.0019604419947543694,0.0019605849065970236,0.001960717794462101,0.0019608415921575583,0.0019609643619108354,0.001961079335347981,0.0019611859388335233,0.0019612851851079013,0.001961378013180891,0.0019614631579131137,0.0019615447681510336,0.001961621981337061,0.0019616954230284142,0.001961765474349049,0.001961831955886735,0.0019618954288858664,0.0019619566236340623,0.001962015620391168,0.0019620725773431547,0.0019621221232113597,0.001962168585565095,0.0019622146662471537,0.0019622604054147083,0.0019623056951041276,0.0019623468350115597,0.001962387512190562,0.0019624285047519178,0.001962469483408906,0.001962510307005371,0.001962546839573153,0.001962587040018811,0.001962627619068366,0.0019626679569144895,0.0019627079384230204,0.001962746275796851,0.0019627865023006973,0.00196282671249756,0.001962866324910079,0.00196290531235896,0.0019629424070501424,0.001962979703766117,0.0019630164209001135,0.0019630527476005447,0.0019630886602857887
 MXYMUCCO3,nan,2.3939729255123395e-06,2.3966174683167652e-06,2.3967075633685765e-06,2.3967277338256314e-06,2.3967659674038704e-06,2.396803655597e-06,2.3968063701246118e-06,2.396836781479166e-06,2.396869217365838e-06,2.3969013952353053e-06,2.396932953483769e-06,2.3969645137722306e-06,2.3969953594071106e-06,2.3970256705295475e-06,2.3970554727837072e-06,2.3970847917688085e-06,2.397115199712897e-06,2.3971441567232823e-06,2.397172690613708e-06,2.3972009072252473e-06,2.3972288196278718e-06,2.3972553796026605e-06,2.3972825558321225e-06,2.397309584597814e-06,2.397336420396792e-06,2.3973630995439584e-06,2.3973898645399557e-06,2.397416316191285e-06,2.3974426212795078e-06,2.39746879456938e-06,2.397494843713955e-06,2.397521054961834e-06,2.3975470077436105e-06,2.397572848431747e-06,2.3975985841485675e-06,2.397624328204826e-06,2.3976532724206495e-06,2.3976798233232846e-06,2.397706153579937e-06,2.3977324085021323e-06,2.3977585927367025e-06,2.397786469604403e-06,2.397813086029739e-06,2.3978395534675647e-06,2.3978659432954453e-06,2.3978922217897443e-06,2.397918600563493e-06,2.39794517275435e-06,2.3979717536000886e-06,2.3979982900378837e-06,2.398024699286396e-06,2.3980498928338682e-06,2.3980760477608897e-06,2.398102209636512e-06,2.398128287031542e-06,2.3981543352172993e-06,2.398181449753375e-06,2.3982076624866944e-06,2.398233734744681e-06,2.3982597074815573e-06
 EPXMC4DIAL,nan,8.450974305722975e-05,8.463760103819808e-05,8.465222994104707e-05,8.46581531217373e-05,8.466247212696355e-05,8.466562004645281e-05,8.466709373100128e-05,8.466913935258086e-05,8.467102834678372e-05,8.467275247316378e-05,8.46743367284653e-05,8.467583865764565e-05,8.467725711563343e-05,8.467860988904655e-05,8.4679907137186e-05,8.468114756277572e-05,8.468239727125536e-05,8.468358020737279e-05,8.468473350314756e-05,8.468586260527561e-05,8.468697332796104e-05,8.46880296175113e-05,8.468909637419914e-05,8.46901486452717e-05,8.469118606178087e-05,8.46922102625836e-05,8.469323130967406e-05,8.46942358378699e-05,8.469523040592378e-05,8.469621603537579e-05,8.46971936783602e-05,8.469817200690161e-05,8.469913863221546e-05,8.470009859436168e-05,8.470105234125703e-05,8.470200661050955e-05,8.470305720031736e-05,8.47040261306426e-05,8.470498699014693e-05,8.470594455230656e-05,8.470690123843533e-05,8.470790681318758e-05,8.470887051583103e-05,8.470982920788862e-05,8.471078506658949e-05,8.47117376874442e-05,8.471269120730112e-05,8.471365238490538e-05,8.471461371902447e-05,8.471557319240437e-05,8.471652699314395e-05,8.471744146173717e-05,8.471838872061026e-05,8.471933547901821e-05,8.472027859610161e-05,8.47212219422436e-05,8.47221979948764e-05,8.472314301610007e-05,8.472408286612185e-05,8.472501885060623e-05
 MXYMUCO2,nan,0.004947305714716713,0.005099024083514959,0.00512430877939108,0.005129208497136659,0.005136832898744333,0.0051463915780425576,0.005143406421601728,0.005146203130484082,0.005148455415649492,0.005150309403392873,0.0051512876562254326,0.005152883720808992,0.005154079441906045,0.005155106606477052,0.005156011818493269,0.005155742088765333,0.005156784238225102,0.005157528415189869,0.005158185920788838,0.005158783414966306,0.005159999402276742,0.005160344093657477,0.005160762195804286,0.005161159915275602,0.005161533469739906,0.005161823522985638,0.005162138078776265,0.005162452804342417,0.00516275241454884,0.0051630371887496996,0.005163109886475122,0.0051634567916162685,0.005163714857175578,0.005163954557927643,0.005164182976497259,0.0051624384454135,0.005163425462613663,0.005163760715924333,0.005164016476924718,0.005164252888949168,0.005163102395336897,0.005163913735782682,0.0051642237116024045,0.005164465317729506,0.005164688640852129,0.005164577454067723,0.005165017200424772,0.005165243404046151,0.00516543507284783,0.005165615059994466,0.005166401987846915,0.0051664368508718885,0.005166556193573367,0.005166681689845988,0.005166803214856336,0.005166304933341419,0.0051667289888610475,0.0051668917382329356,0.005167009920565654,0.00516711588235548
 C726CO5O2,nan,9.767444964308272e-06,9.778346063786983e-06,9.778753263715245e-06,9.77885705045501e-06,9.77902588515927e-06,9.779265098265518e-06,9.77921025538205e-06,9.77934029330317e-06,9.779477385777335e-06,9.7796125110086e-06,9.779743837572102e-06,9.779875205030938e-06,9.780003344265052e-06,9.78012896915254e-06,9.780252245919434e-06,9.780371776836802e-06,9.78049720636547e-06,9.780616646265125e-06,9.780734214701113e-06,9.780850361046899e-06,9.780966199327868e-06,9.781075338729506e-06,9.78118687656313e-06,9.781297751901444e-06,9.78140778922827e-06,9.781516979918715e-06,9.781626662591607e-06,9.781735021084014e-06,9.781842746995051e-06,9.781949904390016e-06,9.782056358397084e-06,9.782163595980897e-06,9.782269786567378e-06,9.782375499350146e-06,9.782480762569868e-06,9.782584041982747e-06,9.782702214296936e-06,9.782810856127919e-06,9.782918592701513e-06,9.783025996769654e-06,9.78313171861449e-06,9.783245581162417e-06,9.783354467782042e-06,9.783462737495598e-06,9.783570665259128e-06,9.783678090260079e-06,9.783785844322518e-06,9.78389444444745e-06,9.784003067117073e-06,9.784111488990772e-06,9.784220416156858e-06,9.784323299342626e-06,9.784430058529265e-06,9.784536827823009e-06,9.784643237863898e-06,9.784749112910167e-06,9.784859648685297e-06,9.784966576576092e-06,9.785072926120631e-06,9.785178853417811e-06
 MXY1O,nan,4.308367255757197e-06,4.31311343532482e-06,4.31327712104877e-06,4.31331608437396e-06,4.313385873014747e-06,4.313449827205314e-06,4.3134604011035185e-06,4.313515588643498e-06,4.313574319767074e-06,4.313632511205183e-06,4.3136895393426165e-06,4.313746474837788e-06,4.313802141790607e-06,4.313856824352023e-06,4.313910570592928e-06,4.313963375563513e-06,4.314018144723061e-06,4.314070338824176e-06,4.31412176384081e-06,4.3141726087455955e-06,4.314222944222114e-06,4.314270810192161e-06,4.314319757595895e-06,4.314368433995549e-06,4.314416759677755e-06,4.3144647873278435e-06,4.314512985271306e-06,4.314560612922108e-06,4.31460797418601e-06,4.314655096187298e-06,4.314701998364228e-06,4.314749168810918e-06,4.314795888609901e-06,4.3148424065824195e-06,4.314888734377144e-06,4.314935080386983e-06,4.314987042838283e-06,4.315034830794664e-06,4.315082232886357e-06,4.3151294985959e-06,4.315176639671325e-06,4.315226714266846e-06,4.315274621372168e-06,4.315322269280659e-06,4.315369776426762e-06,4.315417129203553e-06,4.315464563645878e-06,4.315512387740678e-06,4.315560230726721e-06,4.315607992599917e-06,4.315655594370847e-06,4.315700951385365e-06,4.315748019209668e-06,4.315795095855466e-06,4.315842018850354e-06,4.315888917182317e-06,4.31593764502067e-06,4.315984800358377e-06,4.3160317086719285e-06,4.31607843710152e-06
 MXYOLO2,nan,0.0008093396781417762,0.0008124227747842684,0.000812869862530224,0.0008129766838274979,0.0008131347283836226,0.0008135416189305588,0.0008133128281557899,0.0008133859174240773,0.0008134474759200142,0.0008134998392791303,0.0008135332370698274,0.0008135781220524937,0.000813614702914513,0.0008136472976949248,0.000813676892638942,0.0008136812802211356,0.0008137128214779285,0.0008137382721571147,0.000813761686570616,0.0008137836216725244,0.0008138184628681518,0.0008138347735741621,0.000813852343435917,0.0008138693568238066,0.0008138857421619929,0.0008139001447701184,0.0008139152575402118,0.0008139301634983419,0.0008139446609830853,0.0008139587661341906,0.0008139686480109993,0.0008139836700786733,0.0008139970346267941,0.0008140099723214522,0.0008140226113375529,0.0008139966030400244,0.0008140230724716678,0.0008140378521111136,0.0008140511379252215,0.0008140639892970039,0.0008140500389220684,0.0008140728889637,0.0008140870487157399,0.0008140999440363098,0.0008141124258846746,0.0008141190878546996,0.0008141348893726909,0.0008141472448118364,0.0008141589625831781,0.000814170392239171,0.0008141941010146618,0.0008142025429662029,0.0008142125074605433,0.0008142224850678717,0.0008142322865058274,0.0008142311317512995,0.0008142456414841462,0.0008142558743038006,0.0008142652780616404,0.0008142743384172614
 NMXYOLO2,nan,0.002727214943982151,0.0027356034519778164,0.0027352609592053326,0.002735694266377524,0.002736480007687373,0.002737504221350124,0.002738414916746665,0.0027391185946156857,0.002739714080350649,0.002740213384236362,0.0027405486772364073,0.0027409194841300816,0.0027412395812803324,0.0027415176455937128,0.0027417619650845163,0.0027417792205992747,0.0027419970810482306,0.00274219242321938,0.002742368520214315,0.0027425285188104444,0.002742803648199974,0.0027429260805650756,0.0027430404595688686,0.002743147476719087,0.0027432478755586,0.0027433248324270154,0.0027434152665634444,0.00274350057332754,0.0027435814194442746,0.0027436581826547875,0.0027437067719329323,0.0027437780926361875,0.0027438460545852975,0.0027439108142107253,0.002743972564667512,0.00274376566694796,0.002743840429879001,0.0027439111094662945,0.002743977374290071,0.0027440398802145963,0.002743917550420399,0.002743985814153644,0.0027440510057587762,0.002744112116288812,0.0027441695862657285,0.0027442084076706595,0.0027442601782088185,0.0027443101758611132,0.0027443572388478146,0.002744401427246323,0.002744561797305431,0.0027445934070538954,0.0027446237658841416,0.002744652002405767,0.0027446779891312856,0.0027446428653468326,0.0027446675419763294,0.0027446896515599516,0.0027447087867518163,0.0027447249016080374
 MXYCATECH,nan,0.010357276527851013,0.011340385898304045,0.01165186399371713,0.011786366445318244,0.011862435014168149,0.011909438499956633,0.011944304837395628,0.011970235244089938,0.011990221858579207,0.012006134952470387,0.01201825091594329,0.012028996295685275,0.012038225951583647,0.012046196229789948,0.012053153294604439,0.012058780009775017,0.012063818093302307,0.012068473216880376,0.012072739627320927,0.012076658875707337,0.012080445527386807,0.012084020908099565,0.012087276758831509,0.012090272970036082,0.012093044332565459,0.012095552162027498,0.012097933119355163,0.012100161326073737,0.01210225645740358,0.012104232316195047,0.012106081354897236,0.012107811402096729,0.012109470289694934,0.01211105448207222,0.012112569442878618,0.012113838585365565,0.012114858930297005,0.012115950819956563,0.0121170415431712,0.01211812161468558,0.012119026710927981,0.01211985227859527,0.012120746272332344,0.012121653859271206,0.012122566064948829,0.012123287030611819,0.012124173761537963,0.012125085677834595,0.012125998260303054,0.012126907675416274,0.012127773999323561,0.01212878027098942,0.012129763180088978,0.012130728386242854,0.012131678168473173,0.01213255154082981,0.012133408429218093,0.012134283058589946,0.012135157208271748,0.012136028767297838
 PXYLOOH,nan,0.004318892577889027,0.004401672427505982,0.004417005520626056,0.0044218312162169855,0.004424306070884745,0.004425759927495542,0.00442686376068328,0.004427787843634221,0.0044285667811742565,0.004429238486930727,0.004429535000110438,0.00443008689450537,0.004430589328478023,0.004431042919568539,0.00443145499363256,0.004431307100367727,0.004431697799756416,0.004432062150663988,0.004432398341271502,0.004432709772918494,0.004433330538483937,0.004433577734017951,0.004433809566876801,0.00443402895688734,0.004434237236963903,0.004434401335813132,0.004434592733235501,0.00443477494390436,0.004434949413245348,0.004435116818115069,0.004435210946314336,0.0044353681521530665,0.004435520909718664,0.0044356683734933814,0.004435810800957895,0.0044352086539608615,0.004435370439665024,0.004435536424633861,0.004435697013713101,0.004435851543324685,0.0044354745491138395,0.004435638917731451,0.004435805867526669,0.004435966957223715,0.004436121642842418,0.00443620926465774,0.004436350752723499,0.004436491949163996,0.004436628780987248,0.004436760992673522,0.004437211205294728,0.004437318886263268,0.004437424115362254,0.004437526588919836,0.004437626420551262,0.004437551536361497,0.004437649824973721,0.004437748355254416,0.004437844812494318,0.004437938777394879
 PXYLNO3,nan,0.0009335755956351268,0.0009389817841097654,0.000940152808705599,0.0009406233267180331,0.0009408960153920602,0.0009410767440481885,0.0009411898899092853,0.000941284341254469,0.0009413607230041065,0.0009414240116692277,0.0009414699073429537,0.0009415176965611541,0.0009415598954620868,0.0009415975707993145,0.0009416316104358318,0.0009416435156752717,0.0009416747542998003,0.0009417033537296217,0.0009417299214143422,0.0009417547877780847,0.0009417908926791406,0.0009418115746595241,0.0009418315925972237,0.0009418508128794706,0.00094186930955607,0.0009418855555733531,0.0009419030515706131,0.000941919947238613,0.0009419363650383297,0.0009419523528898955,0.0009419658892157745,0.0009419813258904017,0.0009419964018581641,0.0009420111687151787,0.000942025649499743,0.0009420158836904062,0.0009420322505779759,0.0009420476733197412,0.000942062758886315,0.0009420775616169523,0.0009420759202433531,0.0009420916265943387,0.0009421067887443037,0.0009421216618938601,0.0009421362733418342,0.0009421496047622351,0.0009421637576293946,0.0009421778863743832,0.0009421918571849165,0.000942205653053884,0.0009422301777628911,0.0009422426476512727,0.000942255374175428,0.0009422680130793703,0.0009422805366993854,0.0009422880105581083,0.000942300913527482,0.0009423134629695049,0.0009423258936225064,0.0009423382156332431
